nohup: ignoring input

===== Training representation=graph, n_qubits=2 =====
Epoch 004 | train_loss=0.598353 | val_loss=0.520717 | val_rmse=1.092959 | lr=1.00e-03
Epoch 005 | train_loss=0.572315 | val_loss=0.503063 | val_rmse=1.074272 | lr=1.00e-03
Epoch 006 | train_loss=0.561137 | val_loss=0.479997 | val_rmse=1.049355 | lr=1.00e-03
Epoch 007 | train_loss=0.548529 | val_loss=0.463561 | val_rmse=1.031233 | lr=1.00e-03
Epoch 008 | train_loss=0.545007 | val_loss=0.470287 | val_rmse=1.038687 | lr=1.00e-03
Epoch 009 | train_loss=0.541538 | val_loss=0.464520 | val_rmse=1.032299 | lr=1.00e-03
Epoch 010 | train_loss=0.535994 | val_loss=0.447609 | val_rmse=1.013334 | lr=1.00e-03
Epoch 011 | train_loss=0.531006 | val_loss=0.447217 | val_rmse=1.012890 | lr=1.00e-03
Epoch 012 | train_loss=0.526672 | val_loss=0.455043 | val_rmse=1.021714 | lr=1.00e-03
Epoch 013 | train_loss=0.519170 | val_loss=0.440319 | val_rmse=1.005048 | lr=1.00e-03
Epoch 014 | train_loss=0.513662 | val_loss=0.439773 | val_rmse=1.004425 | lr=1.00e-03
Epoch 015 | train_loss=0.512850 | val_loss=0.439087 | val_rmse=1.003641 | lr=1.00e-03
Epoch 016 | train_loss=0.511891 | val_loss=0.432723 | val_rmse=0.996342 | lr=1.00e-03
Epoch 017 | train_loss=0.503483 | val_loss=0.419766 | val_rmse=0.981311 | lr=1.00e-03
Epoch 018 | train_loss=0.500967 | val_loss=0.432256 | val_rmse=0.995803 | lr=1.00e-03
Epoch 019 | train_loss=0.493289 | val_loss=0.439883 | val_rmse=1.004551 | lr=1.00e-03
Epoch 020 | train_loss=0.494421 | val_loss=0.418933 | val_rmse=0.980337 | lr=1.00e-03
Epoch 021 | train_loss=0.491301 | val_loss=0.419103 | val_rmse=0.980536 | lr=1.00e-03
Epoch 022 | train_loss=0.482064 | val_loss=0.429618 | val_rmse=0.992760 | lr=1.00e-03
Epoch 023 | train_loss=0.485078 | val_loss=0.440665 | val_rmse=1.005443 | lr=1.00e-03
Epoch 024 | train_loss=0.481518 | val_loss=0.411203 | val_rmse=0.971250 | lr=1.00e-03
Epoch 025 | train_loss=0.478994 | val_loss=0.417463 | val_rmse=0.978615 | lr=1.00e-03
Epoch 026 | train_loss=0.475859 | val_loss=0.419360 | val_rmse=0.980837 | lr=1.00e-03
Epoch 027 | train_loss=0.470511 | val_loss=0.414319 | val_rmse=0.974923 | lr=1.00e-03
Epoch 028 | train_loss=0.467842 | val_loss=0.424698 | val_rmse=0.987059 | lr=1.00e-03
Epoch 029 | train_loss=0.462270 | val_loss=0.404495 | val_rmse=0.963296 | lr=1.00e-03
Epoch 030 | train_loss=0.460947 | val_loss=0.410517 | val_rmse=0.970440 | lr=1.00e-03
Epoch 031 | train_loss=0.457971 | val_loss=0.403060 | val_rmse=0.961585 | lr=1.00e-03
Epoch 032 | train_loss=0.457582 | val_loss=0.403273 | val_rmse=0.961840 | lr=1.00e-03
Epoch 033 | train_loss=0.453190 | val_loss=0.408293 | val_rmse=0.967807 | lr=1.00e-03
Epoch 034 | train_loss=0.449400 | val_loss=0.405395 | val_rmse=0.964367 | lr=1.00e-03
Epoch 035 | train_loss=0.444823 | val_loss=0.403889 | val_rmse=0.962574 | lr=1.00e-03
Epoch 036 | train_loss=0.439786 | val_loss=0.411208 | val_rmse=0.971256 | lr=1.00e-03
Epoch 037 | train_loss=0.437577 | val_loss=0.406104 | val_rmse=0.965210 | lr=5.00e-04
Epoch 038 | train_loss=0.423885 | val_loss=0.389977 | val_rmse=0.945851 | lr=5.00e-04
Epoch 039 | train_loss=0.424380 | val_loss=0.387711 | val_rmse=0.943099 | lr=5.00e-04
Epoch 040 | train_loss=0.421560 | val_loss=0.388639 | val_rmse=0.944227 | lr=5.00e-04
Epoch 041 | train_loss=0.418923 | val_loss=0.387173 | val_rmse=0.942445 | lr=5.00e-04
Epoch 042 | train_loss=0.419248 | val_loss=0.384490 | val_rmse=0.939173 | lr=5.00e-04
Epoch 043 | train_loss=0.412020 | val_loss=0.387934 | val_rmse=0.943370 | lr=5.00e-04
Epoch 044 | train_loss=0.412645 | val_loss=0.382908 | val_rmse=0.937239 | lr=5.00e-04
Epoch 045 | train_loss=0.412876 | val_loss=0.400447 | val_rmse=0.958464 | lr=5.00e-04
Epoch 046 | train_loss=0.410044 | val_loss=0.376950 | val_rmse=0.929919 | lr=5.00e-04
Epoch 047 | train_loss=0.405551 | val_loss=0.380540 | val_rmse=0.934336 | lr=5.00e-04
Epoch 048 | train_loss=0.407293 | val_loss=0.384232 | val_rmse=0.938859 | lr=5.00e-04
Epoch 049 | train_loss=0.406320 | val_loss=0.381721 | val_rmse=0.935785 | lr=5.00e-04
Epoch 050 | train_loss=0.400724 | val_loss=0.378381 | val_rmse=0.931683 | lr=5.00e-04
Epoch 051 | train_loss=0.398191 | val_loss=0.374357 | val_rmse=0.926715 | lr=5.00e-04
Epoch 052 | train_loss=0.397400 | val_loss=0.373086 | val_rmse=0.925141 | lr=5.00e-04
Epoch 053 | train_loss=0.399350 | val_loss=0.378618 | val_rmse=0.931974 | lr=5.00e-04
Epoch 054 | train_loss=0.400798 | val_loss=0.382914 | val_rmse=0.937247 | lr=5.00e-04
Epoch 055 | train_loss=0.390614 | val_loss=0.371611 | val_rmse=0.923309 | lr=5.00e-04
Epoch 056 | train_loss=0.395207 | val_loss=0.375024 | val_rmse=0.927540 | lr=5.00e-04
Epoch 057 | train_loss=0.395859 | val_loss=0.381967 | val_rmse=0.936086 | lr=5.00e-04
Epoch 058 | train_loss=0.392247 | val_loss=0.381132 | val_rmse=0.935063 | lr=5.00e-04
Epoch 059 | train_loss=0.385808 | val_loss=0.368369 | val_rmse=0.919273 | lr=5.00e-04
Epoch 060 | train_loss=0.388718 | val_loss=0.373938 | val_rmse=0.926196 | lr=5.00e-04
Epoch 061 | train_loss=0.386661 | val_loss=0.370080 | val_rmse=0.921406 | lr=5.00e-04
Epoch 062 | train_loss=0.386272 | val_loss=0.379417 | val_rmse=0.932957 | lr=5.00e-04
Epoch 063 | train_loss=0.387855 | val_loss=0.370736 | val_rmse=0.922222 | lr=5.00e-04
Epoch 064 | train_loss=0.381975 | val_loss=0.362919 | val_rmse=0.912447 | lr=5.00e-04
Epoch 065 | train_loss=0.380113 | val_loss=0.373190 | val_rmse=0.925269 | lr=5.00e-04
Epoch 066 | train_loss=0.383343 | val_loss=0.369474 | val_rmse=0.920651 | lr=5.00e-04
Epoch 067 | train_loss=0.382209 | val_loss=0.366331 | val_rmse=0.916727 | lr=5.00e-04
