nohup: ignoring input

===== Training qnn_pooled =====
Epoch 022 | train_loss=0.492829 | val_loss=0.437532 | val_rmse=1.001863 | lr=1.00e-03
Epoch 023 | train_loss=0.489754 | val_loss=0.422138 | val_rmse=0.984080 | lr=1.00e-03
Epoch 024 | train_loss=0.488038 | val_loss=0.419514 | val_rmse=0.981017 | lr=1.00e-03
Epoch 025 | train_loss=0.493176 | val_loss=0.426245 | val_rmse=0.988855 | lr=1.00e-03
Epoch 026 | train_loss=0.483177 | val_loss=0.459593 | val_rmse=1.026810 | lr=1.00e-03
Epoch 027 | train_loss=0.504514 | val_loss=0.423092 | val_rmse=0.985192 | lr=1.00e-03
Epoch 028 | train_loss=0.485934 | val_loss=0.418975 | val_rmse=0.980387 | lr=1.00e-03
Epoch 029 | train_loss=0.474408 | val_loss=0.410856 | val_rmse=0.970840 | lr=1.00e-03
Epoch 030 | train_loss=0.474185 | val_loss=0.429305 | val_rmse=0.992399 | lr=1.00e-03
Epoch 031 | train_loss=0.468385 | val_loss=0.434480 | val_rmse=0.998362 | lr=1.00e-03
Epoch 032 | train_loss=0.475786 | val_loss=0.414711 | val_rmse=0.975385 | lr=1.00e-03
Epoch 033 | train_loss=0.465336 | val_loss=0.421623 | val_rmse=0.983479 | lr=1.00e-03
Epoch 034 | train_loss=0.464418 | val_loss=0.423710 | val_rmse=0.985911 | lr=1.00e-03
Epoch 035 | train_loss=0.463162 | val_loss=0.413978 | val_rmse=0.974523 | lr=5.00e-04
Epoch 036 | train_loss=0.450923 | val_loss=0.410842 | val_rmse=0.970824 | lr=5.00e-04
Epoch 037 | train_loss=0.448886 | val_loss=0.416637 | val_rmse=0.977647 | lr=5.00e-04
Epoch 038 | train_loss=0.443937 | val_loss=0.414649 | val_rmse=0.975312 | lr=5.00e-04
Epoch 039 | train_loss=0.444269 | val_loss=0.402107 | val_rmse=0.960448 | lr=5.00e-04
Epoch 040 | train_loss=0.442239 | val_loss=0.402487 | val_rmse=0.960902 | lr=5.00e-04
Epoch 041 | train_loss=0.437421 | val_loss=0.409730 | val_rmse=0.969510 | lr=5.00e-04
Epoch 042 | train_loss=0.439950 | val_loss=0.406352 | val_rmse=0.965504 | lr=5.00e-04
Epoch 043 | train_loss=0.439125 | val_loss=0.411262 | val_rmse=0.971320 | lr=5.00e-04
Epoch 044 | train_loss=0.439182 | val_loss=0.410166 | val_rmse=0.970025 | lr=5.00e-04
Epoch 045 | train_loss=0.434973 | val_loss=0.403585 | val_rmse=0.962212 | lr=2.50e-04
Epoch 046 | train_loss=0.430763 | val_loss=0.401471 | val_rmse=0.959689 | lr=2.50e-04
Epoch 047 | train_loss=0.425129 | val_loss=0.398258 | val_rmse=0.955841 | lr=2.50e-04
Epoch 048 | train_loss=0.421567 | val_loss=0.398115 | val_rmse=0.955669 | lr=2.50e-04
Epoch 049 | train_loss=0.424194 | val_loss=0.397740 | val_rmse=0.955219 | lr=2.50e-04
Epoch 050 | train_loss=0.421025 | val_loss=0.402252 | val_rmse=0.960622 | lr=2.50e-04
Epoch 051 | train_loss=0.423128 | val_loss=0.408341 | val_rmse=0.967865 | lr=2.50e-04
Epoch 052 | train_loss=0.417975 | val_loss=0.399641 | val_rmse=0.957499 | lr=2.50e-04
Epoch 053 | train_loss=0.421320 | val_loss=0.399720 | val_rmse=0.957593 | lr=2.50e-04
Epoch 054 | train_loss=0.419818 | val_loss=0.402070 | val_rmse=0.960404 | lr=2.50e-04
Epoch 055 | train_loss=0.418960 | val_loss=0.395024 | val_rmse=0.951952 | lr=2.50e-04
Epoch 056 | train_loss=0.418794 | val_loss=0.400955 | val_rmse=0.959071 | lr=2.50e-04
Epoch 057 | train_loss=0.415795 | val_loss=0.394661 | val_rmse=0.951515 | lr=2.50e-04
Epoch 058 | train_loss=0.415716 | val_loss=0.395796 | val_rmse=0.952881 | lr=2.50e-04
Epoch 059 | train_loss=0.415895 | val_loss=0.399213 | val_rmse=0.956986 | lr=2.50e-04
Epoch 060 | train_loss=0.413484 | val_loss=0.398126 | val_rmse=0.955682 | lr=2.50e-04
Epoch 061 | train_loss=0.410454 | val_loss=0.394551 | val_rmse=0.951382 | lr=2.50e-04
Epoch 062 | train_loss=0.413091 | val_loss=0.399279 | val_rmse=0.957065 | lr=2.50e-04
Epoch 063 | train_loss=0.415548 | val_loss=0.391824 | val_rmse=0.948088 | lr=2.50e-04
Epoch 064 | train_loss=0.410692 | val_loss=0.399238 | val_rmse=0.957016 | lr=2.50e-04
Epoch 065 | train_loss=0.413428 | val_loss=0.398246 | val_rmse=0.955826 | lr=2.50e-04
Epoch 066 | train_loss=0.409660 | val_loss=0.394595 | val_rmse=0.951434 | lr=2.50e-04
Epoch 067 | train_loss=0.409836 | val_loss=0.395985 | val_rmse=0.953109 | lr=2.50e-04
Epoch 068 | train_loss=0.409997 | val_loss=0.395885 | val_rmse=0.952989 | lr=2.50e-04
Epoch 069 | train_loss=0.407463 | val_loss=0.390678 | val_rmse=0.946700 | lr=2.50e-04
Epoch 070 | train_loss=0.405562 | val_loss=0.392305 | val_rmse=0.948670 | lr=2.50e-04
Epoch 071 | train_loss=0.405914 | val_loss=0.395736 | val_rmse=0.952809 | lr=2.50e-04
Epoch 072 | train_loss=0.401504 | val_loss=0.391010 | val_rmse=0.947102 | lr=2.50e-04
Epoch 073 | train_loss=0.406073 | val_loss=0.395555 | val_rmse=0.952591 | lr=2.50e-04
Epoch 074 | train_loss=0.406892 | val_loss=0.390904 | val_rmse=0.946975 | lr=2.50e-04
Epoch 075 | train_loss=0.403309 | val_loss=0.393571 | val_rmse=0.950199 | lr=1.25e-04
Epoch 076 | train_loss=0.400065 | val_loss=0.389584 | val_rmse=0.945374 | lr=1.25e-04
Epoch 077 | train_loss=0.397042 | val_loss=0.389555 | val_rmse=0.945339 | lr=1.25e-04
Epoch 078 | train_loss=0.395838 | val_loss=0.391612 | val_rmse=0.947831 | lr=1.25e-04
Epoch 079 | train_loss=0.397868 | val_loss=0.388466 | val_rmse=0.944016 | lr=1.25e-04
Epoch 080 | train_loss=0.398205 | val_loss=0.388715 | val_rmse=0.944319 | lr=1.25e-04
Epoch 081 | train_loss=0.397203 | val_loss=0.388248 | val_rmse=0.943751 | lr=1.25e-04
Epoch 082 | train_loss=0.395567 | val_loss=0.390836 | val_rmse=0.946892 | lr=1.25e-04
Epoch 083 | train_loss=0.401490 | val_loss=0.389486 | val_rmse=0.945255 | lr=1.25e-04
Epoch 084 | train_loss=0.393867 | val_loss=0.392353 | val_rmse=0.948728 | lr=1.25e-04
Epoch 085 | train_loss=0.395633 | val_loss=0.387638 | val_rmse=0.943010 | lr=1.25e-04
Epoch 086 | train_loss=0.395938 | val_loss=0.389692 | val_rmse=0.945505 | lr=1.25e-04
Epoch 087 | train_loss=0.396897 | val_loss=0.387694 | val_rmse=0.943079 | lr=1.25e-04
Epoch 088 | train_loss=0.394590 | val_loss=0.391902 | val_rmse=0.948183 | lr=1.25e-04
Epoch 089 | train_loss=0.396200 | val_loss=0.391525 | val_rmse=0.947727 | lr=1.25e-04
Epoch 090 | train_loss=0.392892 | val_loss=0.387973 | val_rmse=0.943418 | lr=1.25e-04
Epoch 091 | train_loss=0.396451 | val_loss=0.387919 | val_rmse=0.943352 | lr=6.25e-05
Epoch 092 | train_loss=0.390505 | val_loss=0.387519 | val_rmse=0.942866 | lr=6.25e-05
Epoch 093 | train_loss=0.391484 | val_loss=0.387168 | val_rmse=0.942438 | lr=6.25e-05
Epoch 094 | train_loss=0.389628 | val_loss=0.388505 | val_rmse=0.944064 | lr=6.25e-05
Epoch 095 | train_loss=0.391329 | val_loss=0.385826 | val_rmse=0.940803 | lr=6.25e-05
Epoch 096 | train_loss=0.391077 | val_loss=0.386284 | val_rmse=0.941361 | lr=6.25e-05
Epoch 097 | train_loss=0.392181 | val_loss=0.389289 | val_rmse=0.945017 | lr=6.25e-05
Epoch 098 | train_loss=0.390420 | val_loss=0.387568 | val_rmse=0.942925 | lr=6.25e-05
Epoch 099 | train_loss=0.390061 | val_loss=0.385959 | val_rmse=0.940965 | lr=6.25e-05
Epoch 100 | train_loss=0.390768 | val_loss=0.387316 | val_rmse=0.942618 | lr=6.25e-05
Saved results to ./outputs/representation/representation_results.csv
